Naziv proizvoda,BREND,SPOL,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,"PLAVA 008,ZELENA 205,CRNA 002",M,Plastika,100,48,39.5,19,140,133,F0288,Uncategorized,SvePotrebno,F0288,"Dioptrijski okvir+clip on PLAVA 008,ZELENA 205,CRNA 002 M",dioptrijski-okvirclip-on-plava-008zelena-205crna-002-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,PLAVA 008,M,Plastika,100,48,39.5,19,140,133,F0288-1,Uncategorized,SvePotrebno,F0288,Dioptrijski okvir+clip on PLAVA 008 M,dioptrijski-okvirclip-on-plava-008-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,ZELENA 205,M,Plastika,100,48,39.5,19,140,133,F0288-2,Uncategorized,SvePotrebno,F0288,Dioptrijski okvir+clip on ZELENA 205 M,dioptrijski-okvirclip-on-zelena-205-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,CRNA 002,M,Plastika,100,48,39.5,19,140,133,F0288-3,Uncategorized,SvePotrebno,F0288,Dioptrijski okvir+clip on CRNA 002 M,dioptrijski-okvirclip-on-crna-002-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,"ZELENA 071,CRNA 002,PLAVA 008",M,Plastika,100,53,42,16,145,140,F0323,Uncategorized,SvePotrebno,F0323,"Dioptrijski okvir+clip on ZELENA 071,CRNA 002,PLAVA 008 M",dioptrijski-okvirclip-on-zelena-071crna-002plava-008-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,ZELENA 071,M,Plastika,100,53,42,16,145,140,F0323-1,Uncategorized,SvePotrebno,F0323,Dioptrijski okvir+clip on ZELENA 071 M,dioptrijski-okvirclip-on-zelena-071-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,CRNA 002,M,Plastika,100,53,42,16,145,140,F0323-2,Uncategorized,SvePotrebno,F0323,Dioptrijski okvir+clip on CRNA 002 M,dioptrijski-okvirclip-on-crna-002-m-1
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,PLAVA 008,M,Plastika,100,53,42,16,145,140,F0323-3,Uncategorized,SvePotrebno,F0323,Dioptrijski okvir+clip on PLAVA 008 M,dioptrijski-okvirclip-on-plava-008-m-1
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Pravokutan,CRNA 002,"L,M",Plastika,115,59,40.3,18,150,170.4,F0074,Uncategorized,SvePotrebno,F0074,"Dioptrijski okvir+clip on CRNA 002 L,M",dioptrijski-okvirclip-on-crna-002-lm
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Pravokutan,CRNA 002,L,Plastika,115,59,40.3,18,150,170.4,F0074-1,Uncategorized,SvePotrebno,F0074,Dioptrijski okvir+clip on CRNA 002 L,dioptrijski-okvirclip-on-crna-002-l
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,CRNA 002,M,Plastika,116,55,38.5,17,145,143.6,F0074-2,Uncategorized,SvePotrebno,F0074,Dioptrijski okvir+clip on CRNA 002 M,dioptrijski-okvirclip-on-crna-002-m-2
Dioptrijski okvir+clip on,CENTROSTYLE,,Pahthos,"ZELENA 205,MAT CRNA,MAT PLAVA 008","M,L",Plastika,70,51,43.2,19,140,140,F0385,Uncategorized,SvePotrebno,F0385,"Dioptrijski okvir+clip on ZELENA 205,MAT CRNA,MAT PLAVA 008 M,L",dioptrijski-okvirclip-on-zelena-205mat-crnamat-plava-008-ml
Dioptrijski okvir+clip on,CENTROSTYLE,,Pahthos,ZELENA 205,M,Plastika,70,51,43.2,19,140,140,F0385-1,Uncategorized,SvePotrebno,F0385,Dioptrijski okvir+clip on ZELENA 205 M,dioptrijski-okvirclip-on-zelena-205-m-1
Dioptrijski okvir,CENTROSTYLE,Muške,Pahthos,MAT CRNA,L,Plastika,70,51,43.2,19,140,140,F0385-2,Uncategorized,SvePotrebno,F0385,Dioptrijski okvir MAT CRNA L,dioptrijski-okvir-mat-crna-l
Dioptrijski okvir,CENTROSTYLE,Muške,Pahthos,MAT PLAVA 008,L,Plastika,70,51,43.2,19,140,140,F0385-3,Uncategorized,SvePotrebno,F0385,Dioptrijski okvir MAT PLAVA 008 L,dioptrijski-okvir-mat-plava-008-l
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,"ZELENA 072,CRNO/PLAVA 314,CRNO/ZELENA143",M,Plastika,116,53,37.7,17,140,137.5,F0075,Uncategorized,SvePotrebno,F0075,"Dioptrijski okvir+clip on ZELENA 072,CRNO/PLAVA 314,CRNO/ZELENA143 M",dioptrijski-okvirclip-on-zelena-072crno-plava-314crno-zelena143-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,ZELENA 072,M,Plastika,116,53,37.7,17,140,137.5,F0075-1,Uncategorized,SvePotrebno,F0075,Dioptrijski okvir+clip on ZELENA 072 M,dioptrijski-okvirclip-on-zelena-072-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,CRNO/PLAVA 314,M,Plastika,116,53,37.7,17,140,137.5,F0075-2,Uncategorized,SvePotrebno,F0075,Dioptrijski okvir+clip on CRNO/PLAVA 314 M,dioptrijski-okvirclip-on-crno-plava-314-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,CRNO/ZELENA143,M,Plastika,116,53,37.7,17,140,137.5,F0075-3,Uncategorized,SvePotrebno,F0075,Dioptrijski okvir+clip on CRNO/ZELENA143 M,dioptrijski-okvirclip-on-crno-zelena143-m
Dioptrijski okvir+clip on,CENTROSTYLE,,Okrugao,CRNA,M,Plastika,84,49,42.5,19,140,133.7,56340,Uncategorized,SvePotrebno,56340,Dioptrijski okvir+clip on CRNA M,dioptrijski-okvirclip-on-crna-m
Dioptrijski okvir+clip on,CENTROSTYLE,,Okrugao,CRNA,M,Plastika,84,49,42.5,19,140,133.7,56340-1,Uncategorized,SvePotrebno,56340,Dioptrijski okvir+clip on CRNA M,dioptrijski-okvirclip-on-crna-m-1
Dioptrijski okvir,CENTROSTYLE,Dječje,Ovalni,"CRVENA 122,PLAVA 275",S,Plastika,70,46,,15,130,,F0397,Uncategorized,SvePotrebno,F0397,"Dioptrijski okvir CRVENA 122,PLAVA 275 S",dioptrijski-okvir-crvena-122plava-275-s
Dioptrijski okvir,CENTROSTYLE,Dječje,Ovalni,CRVENA 122,S,Plastika,70,46,,15,130,,F0397-1,Uncategorized,SvePotrebno,F0397,Dioptrijski okvir CRVENA 122 S,dioptrijski-okvir-crvena-122-s
Dioptrijski okvir,CENTROSTYLE,Dječje,Ovalni,PLAVA 275,S,Plastika,70,46,,15,130,,F0397-2,Uncategorized,SvePotrebno,F0397,Dioptrijski okvir PLAVA 275 S,dioptrijski-okvir-plava-275-s
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,"CRNA 001,BORDO 012",M,Plastika,60,50,36.6,14,135,132,F0392,Uncategorized,SvePotrebno,F0392,"Dioptrijski okvir CRNA 001,BORDO 012 M",dioptrijski-okvir-crna-001bordo-012-m
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,CRNA 001,M,Plastika,60,50,36.6,14,135,132,F0392-1,Uncategorized,SvePotrebno,F0392,Dioptrijski okvir CRNA 001 M,dioptrijski-okvir-crna-001-m
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,BORDO 012,M,Plastika,60,50,36.6,14,135,132,F0392-2,Uncategorized,SvePotrebno,F0392,Dioptrijski okvir BORDO 012 M,dioptrijski-okvir-bordo-012-m
Dioptrijski okvir,CENTROSTYLE,,Okrugao,"CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002",M,Plastika,70,48,42.4,20,140,133,F0386,Uncategorized,SvePotrebno,F0386,"Dioptrijski okvir CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002 M",dioptrijski-okvir-crvena-041plava-008zelena-205crna-002-m
Dioptrijski okvir,CENTROSTYLE,,Okrugao,CRVENA 041,M,Plastika,70,48,42.4,20,140,133,F0386-1,Uncategorized,SvePotrebno,F0386,Dioptrijski okvir CRVENA 041 M,dioptrijski-okvir-crvena-041-m
Dioptrijski okvir,CENTROSTYLE,,Okrugao,PLAVA 008,M,Plastika,70,48,42.4,20,140,133,F0386-2,Uncategorized,SvePotrebno,F0386,Dioptrijski okvir PLAVA 008 M,dioptrijski-okvir-plava-008-m
Dioptrijski okvir,CENTROSTYLE,,Okrugao,ZELENA 205,M,Plastika,70,48,42.4,20,140,133,F0386-3,Uncategorized,SvePotrebno,F0386,Dioptrijski okvir ZELENA 205 M,dioptrijski-okvir-zelena-205-m
Dioptrijski okvir,CENTROSTYLE,,Okrugao,CRNA 002,M,Plastika,70,48,42.4,20,140,133,F0386-4,Uncategorized,SvePotrebno,F0386,Dioptrijski okvir CRNA 002 M,dioptrijski-okvir-crna-002-m
Dioptrijski okvir,CENTROSTYLE,,Četvrtasti," GOLD 018,GRAFITNO SIVA 046,ROSE GOLD 043","S,M",Metal,70,47,40.3,20,145,132,F0344,Uncategorized,SvePotrebno,F0344,"Dioptrijski okvir  GOLD 018,GRAFITNO SIVA 046,ROSE GOLD 043 S,M",dioptrijski-okvir-gold-018grafitno-siva-046rose-gold-043-sm
Dioptrijski okvir,CENTROSTYLE,,Četvrtasti, GOLD 018,S,Metal,70,47,40.3,20,145,132,F0344-1,Uncategorized,SvePotrebno,F0344,Dioptrijski okvir  GOLD 018 S,dioptrijski-okvir-gold-018-s
Dioptrijski okvir,CENTROSTYLE,,Četvrtasti,GRAFITNO SIVA 046,M,Metal,70,49,41.9,20,145,135,F0344-2,Uncategorized,SvePotrebno,F0344,Dioptrijski okvir GRAFITNO SIVA 046 M,dioptrijski-okvir-grafitno-siva-046-m
Dioptrijski okvir,CENTROSTYLE,,Četvrtasti,ROSE GOLD 043,M,Metal,70,49,41.9,20,145,135,F0344-3,Uncategorized,SvePotrebno,F0344,Dioptrijski okvir ROSE GOLD 043 M,dioptrijski-okvir-rose-gold-043-m
Dioptrijski okvir,CENTROSTYLE,Dječje,Okrugao,"SVJETLO PLAVA 088,CRVENA 258",M,Plastika,60,46,40.6,19,135,126.5,F0321,Uncategorized,SvePotrebno,F0321,"Dioptrijski okvir SVJETLO PLAVA 088,CRVENA 258 M",dioptrijski-okvir-svjetlo-plava-088crvena-258-m
Dioptrijski okvir,CENTROSTYLE,Dječje,Okrugao,SVJETLO PLAVA 088,M,Plastika,60,46,40.6,19,135,126.5,F0321-1,Uncategorized,SvePotrebno,F0321,Dioptrijski okvir SVJETLO PLAVA 088 M,dioptrijski-okvir-svjetlo-plava-088-m
Dioptrijski okvir,CENTROSTYLE,,Okrugao,CRVENA 258,M,Plastika,60,44,39,18,130,121.7,F0321-2,Uncategorized,SvePotrebno,F0321,Dioptrijski okvir CRVENA 258 M,dioptrijski-okvir-crvena-258-m
Dioptrijski okvir,CENTROSTYLE,Muške,Pravokutan,"PLAVA 115,ZELENA 072,PLAVA 070","M,S",Plastika,60,51,35,16,145,135,F0219,Uncategorized,SvePotrebno,F0219,"Dioptrijski okvir PLAVA 115,ZELENA 072,PLAVA 070 M,S",dioptrijski-okvir-plava-115zelena-072plava-070-ms
Dioptrijski okvir,CENTROSTYLE,Muške,Pravokutan,PLAVA 115,M,Plastika,60,51,35,16,145,135,F0219-1,Uncategorized,SvePotrebno,F0219,Dioptrijski okvir PLAVA 115 M,dioptrijski-okvir-plava-115-m
Dioptrijski okvir,CENTROSTYLE,,Četvrtasti,ZELENA 072,S,Plastika,60,49,33.2,16,135,129.3,F0219-2,Uncategorized,SvePotrebno,F0219,Dioptrijski okvir ZELENA 072 S,dioptrijski-okvir-zelena-072-s
Dioptrijski okvir,CENTROSTYLE,,Četvrtasti,PLAVA 070,S,Plastika,60,49,33.2,16,135,129.3,F0219-3,Uncategorized,SvePotrebno,F0219,Dioptrijski okvir PLAVA 070 S,dioptrijski-okvir-plava-070-s
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,PLAVA 155,M,Plastika,60,54,39.5,15,140,134.2,F0217,Uncategorized,SvePotrebno,F0217,Dioptrijski okvir PLAVA 155 M,dioptrijski-okvir-plava-155-m
