Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Naziv kategorije;BREND;SPOL;OBLIK OKVIRA;U KOJIM BOJAMA JE DOSTUPAN;U KOJIM VELIČINAMA;MATERIJAL OKVIRA;CIJENA S UKLJUČENIM PDV-om;ŠIRINA LEĆE;VISINA LEĆE;ŠIRINA MOSTA;RUČKICE;ŠIRINA FRONTE;ŠIFRA;Naziv proizvoda
13585;13585;;13585__CRNO/CRVENA;Default;Eyewear;CRNO/CRVENA;;SUNČANE NAOČALE;CENTROSTYLE;Muške;;CRNO/CRVENA;M;Plastika;105;;44;13;130;150;13585;CENTROSTYLE
13585-M-CRNO-CRVENA;13585-m-crno-crvena;CRNO/CRVENA;13585__CRNO/CRVENA;Default;Eyewear;CRNO/CRVENA;crna;SUNČANE NAOČALE;CENTROSTYLE;Muške;;CRNO/CRVENA;M;Plastika;105;;44;13;130;150;13585;CENTROSTYLE
56340;56340;;56340__CRNA;Default;Eyewear;CRNA;;Dioptrijski okvir+clip on;CENTROSTYLE;Unisex;Okrugao;CRNA;M;Plastika;84;49;42,5;19;140;133,7;56340;CENTROSTYLE
56340-M-CRNA;56340-m-crna;CRNA;56340__CRNA;Default;Eyewear;CRNA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Unisex;Okrugao;CRNA;M;Plastika;84;49;42,5;19;140;133,7;56340;CENTROSTYLE
F0288;f0288;;F0288__008,F0288__205,F0288__002;Default;Eyewear;PLAVA 008,ZELENA 205,CRNA 002;;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;100;48;39,5;19;140;133;F0288;CENTROSTYLE
F0288-M-PLAVA-008;f0288-m-plava-008;008;F0288__008;Default;Eyewear;PLAVA;plava;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;100;48;39,5;19;140;133;F0288;CENTROSTYLE
F0288-M-ZELENA-205;f0288-m-zelena-205;205;F0288__205;Default;Eyewear;ZELENA;zelena;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;100;48;39,5;19;140;133;F0288;CENTROSTYLE
F0288-M-CRNA-002;f0288-m-crna-002;002;F0288__002;Default;Eyewear;CRNA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;100;48;39,5;19;140;133;F0288;CENTROSTYLE
F0323;f0323;;F0323__071,F0323__002,F0323__008;Default;Eyewear;ZELENA 071,CRNA 002,PLAVA 008;;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;ZELENA 071,CRNA 002,PLAVA 008;M;Plastika;100;53;42;16;145;140;F0323;CENTROSTYLE
F0323-M-ZELENA-071;f0323-m-zelena-071;071;F0323__071;Default;Eyewear;ZELENA;zelena;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;ZELENA 071,CRNA 002,PLAVA 008;M;Plastika;100;53;42;16;145;140;F0323;CENTROSTYLE
