Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Boja prednjeg dijela;MPC;Ime branda;Šifra branda;Vodič za veličinu;Spol;Oblik;Tip;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Fleksibilni;Veličina mosta;Naziv proizvoda;širina fronte
VO5662;vo5662;;VO5662__2726;Default;Eyewear;Prozirna siva;;VO5662;54;2726;Prozirna siva;92;VOGUE;VO;M;Žene;Phantos;Puni okvir;Injektirani;54;50;Metal;140;;17;VOGUE;140
VO5662-M-Prozirna-siva-2726;vo5662-m-prozirna-siva-2726;2726;VO5662__2726;Default;Eyewear;Prozirna siva;prozirna;VO5662;54;2726;Prozirna siva;92;VOGUE;VO;M;Žene;Phantos;Puni okvir;Injektirani;54;50;Metal;140;;17;VOGUE;140
VO5399D;vo5399d;;VO5399D__W745;Default;Eyewear;Prozirna;;VO5399D;53;W745;Prozirna;80;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Acetat;53;45;Acetat;145;;17;VOGUE;135
VO5399D-S-Prozirna-W745;vo5399d-s-prozirna-w745;W745;VO5399D__W745;Default;Eyewear;Prozirna;prozirna;VO5399D;53;W745;Prozirna;80;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Acetat;53;45;Acetat;145;;17;VOGUE;135
VO5378;vo5378;;VO5378__3150,VO5378__2386;Default;Eyewear;Ljubičasta  kornjačevina;;VO5378;53;3150;Ljubičasta  kornjačevina;101;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Injektirani;53;42;Metal;140;;17;VOGUE;135
VO5378-S-Ljubicasta-kornjacevina-3150;vo5378-s-ljubicasta-kornjacevina-3150;3150;VO5378__3150;Default;Eyewear;Ljubičasta  kornjačevina;ljubičasta;VO5378;53;3150;Ljubičasta  kornjačevina;101;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Injektirani;53;42;Metal;140;;17;VOGUE;135
VO5378-S-Smeda-2386;vo5378-s-smeda-2386;2386;VO5378__2386;Default;Eyewear;Smeđa;smeđa;VO5378;51;2386;Smeđa;101;VOGUE;VO;S;Žene;Zaobljeni četvrtasti;Puni okvir;Injektirani;51;42;Metal;140;;17;VOGUE;132
VO5563;vo5563;;VO5563__W745,VO5563__2939,VO5563__W44;Default;Eyewear;Prozirna;;VO5563;53;W745;Prozirna;92;VOGUE;VO;M;Žene;Četvrtasti;Puni okvir;Najlonska vlakna;53;43;Metal;140;;17;VOGUE;138
VO5563-M-Prozirna-W745;vo5563-m-prozirna-w745;W745;VO5563__W745;Default;Eyewear;Prozirna;prozirna;VO5563;53;W745;Prozirna;92;VOGUE;VO;M;Žene;Četvrtasti;Puni okvir;Najlonska vlakna;53;43;Metal;140;;17;VOGUE;138
VO5563-S-Ruzicasta-2939;vo5563-s-ruzicasta-2939;2939;VO5563__2939;Default;Eyewear;Ružičasta;roza;VO5563;51;2939;Ružičasta;92;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Najlonska vlakna;51;42;Metal;140;;17;VOGUE;135
VO5563-M-Crna-W44;vo5563-m-crna-w44;W44;VO5563__W44;Default;Eyewear;Crna;crna;VO5563;53;W44;Crna;92;VOGUE;VO;M;Žene;Leptirasti;Puni okvir;Najlonska vlakna;53;43;Metal;140;;17;VOGUE;137
VO5379D;vo5379d;;VO5379D__2798;Default;Eyewear;Ružičasta;;VO5379D;54;2798;Ružičasta;80;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Acetat;54;45;Injektirani;140;;17;VOGUE;135
VO5379D-S-Ruzicasta-2798;vo5379d-s-ruzicasta-2798;2798;VO5379D__2798;Default;Eyewear;Ružičasta;roza;VO5379D;54;2798;Ružičasta;80;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Acetat;54;45;Injektirani;140;;17;VOGUE;135
VO5519;vo5519;;VO5519__2942,VO5519__W44,VO5519__2386;Default;Eyewear;Prozirna, CRNA;;VO5519;54;2942,W44;Prozirna, CRNA;84;VOGUE;VO;M;Žene;Mačkasti;Puni okvir;Najlonska vlakna;54;42;Najlonska vlakna;140;;17;VOGUE;140
