Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Vodič za veličinu;Šifra modela;Veličina;Šifra boje;Ime branda;MPC;Spol;Oblik;Tip;Opis naziva modela;Boja prednjeg dijela;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Veličina mosta;Ime proizvoda;Kategorija
0RX2210V;0rx2210v;;0RX2210V__8324;Default;Eyewear;Plava na Prozirna Plava;;L;0RX2210V;53;8324;RAY-BAN VISTA;132;Unisex;Kvadratni;Puni okvir;;Plava na Prozirna Plava;Acetat;53;47;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX2210V-L-Plava-na-Prozirna-Plava-8324;0rx2210v-l-plava-na-prozirna-plava-8324;8324;0RX2210V__8324;Default;Eyewear;Plava na Prozirna Plava;plava;L;0RX2210V;53;8324;RAY-BAN VISTA;132;Unisex;Kvadratni;Puni okvir;;Plava na Prozirna Plava;Acetat;53;47;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3547V;0rx3547v;;0RX3547V__2502;Default;Eyewear;Gunmetal;;M;0RX3547V;51;2502;RAY-BAN VISTA;146;Unisex;Ovalni;Puni okvir;OVAL;Gunmetal;Metal;51;40;Metal;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3547V-M-Gunmetal-2502;0rx3547v-m-gunmetal-2502;2502;0RX3547V__2502;Default;Eyewear;Gunmetal;siva;M;0RX3547V;51;2502;RAY-BAN VISTA;146;Unisex;Ovalni;Puni okvir;OVAL;Gunmetal;Metal;51;40;Metal;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3637V;0rx3637v;;0RX3637V__2501,0RX3637V__2509,0RX3637V__3094;Default;Eyewear;Srebrna;;XS;0RX3637V;50;2501;RAY-BAN VISTA;155;Unisex;Phantos;Puni okvir;NEW ROUND;Srebrna;Metal;50;47;Metal;140;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3637V-XS-Srebrna-2501;0rx3637v-xs-srebrna-2501;2501;0RX3637V__2501;Default;Eyewear;Srebrna;srebrna;XS;0RX3637V;50;2501;RAY-BAN VISTA;155;Unisex;Phantos;Puni okvir;NEW ROUND;Srebrna;Metal;50;47;Metal;140;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3637V-M-Srebrna-2501;0rx3637v-m-srebrna-2501;2501;0RX3637V__2501;Default;Eyewear;Srebrna;srebrna;M;0RX3637V;53;2501;RAY-BAN VISTA;155;Unisex;Phantos;Puni okvir;NEW ROUND;Srebrna;Metal;53;50;Metal;140;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3637V-M-Crna-2509;0rx3637v-m-crna-2509;2509;0RX3637V__2509;Default;Eyewear;Crna;crna;M;0RX3637V;53;2509;RAY-BAN VISTA;155;Unisex;Phantos;Puni okvir;NEW ROUND;Crna;Metal;53;50;Metal;140;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3637V-XS-Ruzicasto-zlatna-3094;0rx3637v-xs-ruzicasto-zlatna-3094;3094;0RX3637V__3094;Default;Eyewear;Ružičasto zlatna;zlatna;XS;0RX3637V;50;3094;RAY-BAN VISTA;155;Unisex;Phantos;Puni okvir;NEW ROUND;Ružičasto zlatna;Metal;50;47;Metal;140;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3681V;0rx3681v;;0RX3681V__2500,0RX3681V__2501,0RX3681V__2502,0RX3681V__2509;Default;Eyewear;Arista zlatna;;S;0RX3681V;50;2500;RAY-BAN VISTA;113;Unisex;Phantos;Puni okvir;;Arista zlatna;Metal;50;47;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3681V-S-Arista-zlatna-2500;0rx3681v-s-arista-zlatna-2500;2500;0RX3681V__2500;Default;Eyewear;Arista zlatna;zlatna;S;0RX3681V;50;2500;RAY-BAN VISTA;113;Unisex;Phantos;Puni okvir;;Arista zlatna;Metal;50;47;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3681V-S-Srebrna-2501;0rx3681v-s-srebrna-2501;2501;0RX3681V__2501;Default;Eyewear;Srebrna;srebrna;S;0RX3681V;50;2501;RAY-BAN VISTA;113;Unisex;Phantos;Puni okvir;;Srebrna;Metal;50;47;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3681V-XS-Gunmetal-2502;0rx3681v-xs-gunmetal-2502;2502;0RX3681V__2502;Default;Eyewear;Gunmetal;siva;XS;0RX3681V;48;2502;RAY-BAN VISTA;113;Unisex;Phantos;Puni okvir;;Gunmetal;Metal;48;45;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3681V-S-Crna-2509;0rx3681v-s-crna-2509;2509;0RX3681V__2509;Default;Eyewear;Crna;crna;S;0RX3681V;50;2509;RAY-BAN VISTA;115;Unisex;Phantos;Puni okvir;;Crna;Metal;50;47;Metal;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3691V;0rx3691v;;0RX3691V__2500;Default;Eyewear;Arista zlatna;;XXS;0RX3691V;48;2500;RAY-BAN VISTA;132;Unisex;Phantos;Puni okvir;;Arista zlatna;Metal;48;47;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3691V-XXS-Arista-zlatna-2500;0rx3691v-xxs-arista-zlatna-2500;2500;0RX3691V__2500;Default;Eyewear;Arista zlatna;zlatna;XXS;0RX3691V;48;2500;RAY-BAN VISTA;132;Unisex;Phantos;Puni okvir;;Arista zlatna;Metal;48;47;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX3694V;0rx3694v;;0RX3694V__2501,0RX3694V__3178;Default;Eyewear;Srebrna;;M;0RX3694V;51;2501;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;JIM;Srebrna;Metal;51;43;Metal;140;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3694V-M-Srebrna-2501;0rx3694v-m-srebrna-2501;2501;0RX3694V__2501;Default;Eyewear;Srebrna;srebrna;M;0RX3694V;51;2501;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;JIM;Srebrna;Metal;51;43;Metal;140;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3694V-L-Srebrna-2501;0rx3694v-l-srebrna-2501;2501;0RX3694V__2501;Default;Eyewear;Srebrna;srebrna;L;0RX3694V;53;2501;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;JIM;Srebrna;Metal;53;45;Metal;140;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3694V-M-Havana-smeda-na-srebrnoj-3178;0rx3694v-m-havana-smeda-na-srebrnoj-3178;3178;0RX3694V__3178;Default;Eyewear;Havana smeđa na srebrnoj;smeđa;M;0RX3694V;51;3178;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;JIM;Havana smeđa na srebrnoj;Metal;51;43;Metal;140;20;RAY-BAN VISTA;Dioptrijste naočale
