Šifra modela,Veličina,Šifra boje,Ime branda,MPC,Vodič za veličinu,Spol,Oblik,Tip,Opis naziva modela,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Veličina mosta,Privremeno ime,Kategorija,AtributSet,PrivremenoIme2,Slika,Naziv final,slug
0RX2210V,53,8324,RAY-BAN VISTA,132,L,Unisex,Kvadratni,Puni okvir,,Plava na Prozirna Plava,Acetat,53,47,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX2210V__8324,Dioptrijski okvir RAY-BAN VISTA L Plava na Prozirna Plava,dioptrijski-okvir-rayban-vista-l-plava-na-prozirna-plava
0RX2210V-1,53,8324,RAY-BAN VISTA,132,L,Unisex,Kvadratni,Puni okvir,,Plava na Prozirna Plava,Acetat,53,47,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX2210V__8324,Dioptrijski okvir RAY-BAN VISTA L Plava na Prozirna Plava,dioptrijski-okvir-rayban-vista-l-plava-na-prozirna-plava-1
0RX3447V,50,2500,RAY-BAN VISTA,146,"S,M",Unisex,Okrugli,Puni okvir,ROUND METAL,"Arista zlatna,Crna,Black On Rose Gold,Havana na Crveni mjed",Metal,50,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3447V__2500,"Dioptrijski okvir RAY-BAN VISTA S,M Arista zlatna,Crna,Black On Rose Gold,Havana na Crveni mjed",dioptrijski-okvir-rayban-vista-sm-arista-zlatnacrnablack-on-rose-goldhavana-na-crveni-mjed
0RX3447V-1,50,2500,RAY-BAN VISTA,146,S,Unisex,Okrugli,Puni okvir,ROUND METAL,Arista zlatna,Metal,50,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3447V__2500,Dioptrijski okvir RAY-BAN VISTA S Arista zlatna,dioptrijski-okvir-rayban-vista-s-arista-zlatna
0RX3447V-2,50,2503,RAY-BAN VISTA,146,S,Unisex,Okrugli,Puni okvir,ROUND METAL,Crna,Metal,50,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3447V__2503,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna
0RX3447V-3,50,3173,RAY-BAN VISTA,146,S,Unisex,Okrugli,Puni okvir,ROUND METAL,Black On Rose Gold,Metal,50,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3447V__3173,Dioptrijski okvir RAY-BAN VISTA S Black On Rose Gold,dioptrijski-okvir-rayban-vista-s-black-on-rose-gold
0RX3447V-4,50,3174,RAY-BAN VISTA,146,S,Unisex,Okrugli,Puni okvir,ROUND METAL,Havana na Crveni mjed,Metal,50,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3447V__3174,Dioptrijski okvir RAY-BAN VISTA S Havana na Crveni mjed,dioptrijski-okvir-rayban-vista-s-havana-na-crveni-mjed
0RX3447V-5,53,3174,RAY-BAN VISTA,146,M,Unisex,Okrugli,Puni okvir,ROUND METAL,Havana na Crveni mjed,Metal,53,50,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3447V__3174,Dioptrijski okvir RAY-BAN VISTA M Havana na Crveni mjed,dioptrijski-okvir-rayban-vista-m-havana-na-crveni-mjed
0RX3547V,51,2502,RAY-BAN VISTA,146,M,Unisex,Ovalni,Puni okvir,OVAL,Gunmetal,Metal,51,40,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3547V__2502,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal
0RX3547V-1,51,2502,RAY-BAN VISTA,146,M,Unisex,Ovalni,Puni okvir,OVAL,Gunmetal,Metal,51,40,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3547V__2502,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal-1
