Naziv proizvoda,BREND,,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,CRNA 700Y,M,Acetat,130,51,44,18,145,135,VPLP13,Uncategorized,SvePotrebno,VPLP13,DIOPTRIJSKI OKVIR CRNA 700Y M,dioptrijski-okvir-crna-700y-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,CRNA 700Y,M,Acetat,130,51,44,18,145,135,VPLP13-1,Uncategorized,SvePotrebno,VPLP13,DIOPTRIJSKI OKVIR CRNA 700Y M,dioptrijski-okvir-crna-700y-m-1
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,"TAMNO/SVJETLO SIVA GRADUAL 0G46,TAMNO/SVJETLO PLAVA 0W60,TAMNO/SVJETLO SIVA 0G46,CRNA 0700","M,L",Acetat,150,52,45,18,145,137,VPLP15,Uncategorized,SvePotrebno,VPLP15,"DIOPTRIJSKI OKVIR TAMNO/SVJETLO SIVA GRADUAL 0G46,TAMNO/SVJETLO PLAVA 0W60,TAMNO/SVJETLO SIVA 0G46,CRNA 0700 M,L",dioptrijski-okvir-tamno-svjetlo-siva-gradual-0g46tamno-svjetlo-plava-0w60tamno-svjetlo-siva-0g46crna-0700-ml
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,TAMNO/SVJETLO SIVA GRADUAL 0G46,M,Acetat,150,52,45,18,145,137,VPLP15-1,Uncategorized,SvePotrebno,VPLP15,DIOPTRIJSKI OKVIR TAMNO/SVJETLO SIVA GRADUAL 0G46 M,dioptrijski-okvir-tamno-svjetlo-siva-gradual-0g46-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,TAMNO/SVJETLO PLAVA 0W60,M,Acetat,150,52,45,18,145,137,VPLP15-2,Uncategorized,SvePotrebno,VPLP15,DIOPTRIJSKI OKVIR TAMNO/SVJETLO PLAVA 0W60 M,dioptrijski-okvir-tamno-svjetlo-plava-0w60-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,TAMNO/SVJETLO PLAVA 0W60,L,Acetat,150,55,49,19,145,145,VPLP15-3,Uncategorized,SvePotrebno,VPLP15,DIOPTRIJSKI OKVIR TAMNO/SVJETLO PLAVA 0W60 L,dioptrijski-okvir-tamno-svjetlo-plava-0w60-l
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,TAMNO/SVJETLO SIVA 0G46,L,Acetat,150,55,49,19,145,145,VPLP15-4,Uncategorized,SvePotrebno,VPLP15,DIOPTRIJSKI OKVIR TAMNO/SVJETLO SIVA 0G46 L,dioptrijski-okvir-tamno-svjetlo-siva-0g46-l
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,CRNA 0700,L,Acetat,150,55,48,19,145,146,VPLP15-5,Uncategorized,SvePotrebno,VPLP15,DIOPTRIJSKI OKVIR CRNA 0700 L,dioptrijski-okvir-crna-0700-l
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,"CRNA 700Y,PLAVA 06WR,PRUGASTO PLAVA 06WR","M,L",Acetat,135,52,43,17,145,135,VPLL71,Uncategorized,SvePotrebno,VPLL71,"DIOPTRIJSKI OKVIR CRNA 700Y,PLAVA 06WR,PRUGASTO PLAVA 06WR M,L",dioptrijski-okvir-crna-700yplava-06wrprugasto-plava-06wr-ml
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,CRNA 700Y,M,Acetat,135,52,43,17,145,135,VPLL71-1,Uncategorized,SvePotrebno,VPLL71,DIOPTRIJSKI OKVIR CRNA 700Y M,dioptrijski-okvir-crna-700y-m-2
