Naziv proizvoda,BREND,SPOL,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,GRAFITNO SIVA,M,Metal,75,55,36,18,145,145,S10585,Uncategorized,SvePotrebno,S10585,DIOPTRIJSKI OKVIR GRAFITNO SIVA M,dioptrijski-okvir-grafitno-siva-m
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,GRAFITNO SIVA,M,Metal,75,55,36,18,145,145,S10585-1,Uncategorized,SvePotrebno,S10585,DIOPTRIJSKI OKVIR GRAFITNO SIVA M,dioptrijski-okvir-grafitno-siva-m-1
DIOPTRIJSKI OKVIR,SOLANO,Dječje,Četvrtasti,GRAFITNO SIVA,S,Metal,64,50,34,17,130,125,S50238,Uncategorized,SvePotrebno,S50238,DIOPTRIJSKI OKVIR GRAFITNO SIVA S,dioptrijski-okvir-grafitno-siva-s
DIOPTRIJSKI OKVIR,SOLANO,Dječje,Četvrtasti,GRAFITNO SIVA,S,Metal,64,50,34,17,130,125,S50238-1,Uncategorized,SvePotrebno,S50238,DIOPTRIJSKI OKVIR GRAFITNO SIVA S,dioptrijski-okvir-grafitno-siva-s-1
DIOPTRIJSKI OKVIR,SOLANO,Dječje,Četvrtasti,CRNA,S,Metal,64,51,34,16,13,125,S50239,Uncategorized,SvePotrebno,S50239,DIOPTRIJSKI OKVIR CRNA S,dioptrijski-okvir-crna-s
DIOPTRIJSKI OKVIR,SOLANO,Dječje,Četvrtasti,CRNA,S,Metal,64,51,34,16,13,125,S50239-1,Uncategorized,SvePotrebno,S50239,DIOPTRIJSKI OKVIR CRNA S,dioptrijski-okvir-crna-s-1
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,"SIVO/PLAVA,CRNA",S,Plastika,60,52,38,16,140,134,JH20086,Uncategorized,SvePotrebno,JH20086,"DIOPTRIJSKI OKVIR SIVO/PLAVA,CRNA S",dioptrijski-okvir-sivo-plavacrna-s
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,SIVO/PLAVA,S,Plastika,60,52,38,16,140,134,JH20086-1,Uncategorized,SvePotrebno,JH20086,DIOPTRIJSKI OKVIR SIVO/PLAVA S,dioptrijski-okvir-sivo-plava-s
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,CRNA,S,Plastika,60,52,38,16,140,134,JH20086-2,Uncategorized,SvePotrebno,JH20086,DIOPTRIJSKI OKVIR CRNA S,dioptrijski-okvir-crna-s-2
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,CRNA MAT,M,Plastika,50,53,42,17,140,140,JH20088,Uncategorized,SvePotrebno,JH20088,DIOPTRIJSKI OKVIR CRNA MAT M,dioptrijski-okvir-crna-mat-m
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,CRNA MAT,M,Plastika,50,53,42,17,140,140,JH20088-1,Uncategorized,SvePotrebno,JH20088,DIOPTRIJSKI OKVIR CRNA MAT M,dioptrijski-okvir-crna-mat-m-1
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,CRNA MAT,M,Plastika,80,56,42,16,140,140,S20581,Uncategorized,SvePotrebno,S20581,DIOPTRIJSKI OKVIR CRNA MAT M,dioptrijski-okvir-crna-mat-m-2
DIOPTRIJSKI OKVIR,SOLANO,Muške,Četvrtasti,CRNA MAT,M,Plastika,80,56,42,16,140,140,S20581-1,Uncategorized,SvePotrebno,S20581,DIOPTRIJSKI OKVIR CRNA MAT M,dioptrijski-okvir-crna-mat-m-3
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,SIVA,M,Metal,60,55,40,16,142,140,JH10415,Uncategorized,SvePotrebno,JH10415,DIOPTRIJSKI OKVIR SIVA M,dioptrijski-okvir-siva-m
DIOPTRIJSKI OKVIR,JENS HAGEN,Muške,Četvrtasti,SIVA,M,Metal,60,55,40,16,142,140,JH10415-1,Uncategorized,SvePotrebno,JH10415,DIOPTRIJSKI OKVIR SIVA M,dioptrijski-okvir-siva-m-1
