Šifra modela,Veličina,Šifra boje,MPC,Ime branda,Šifra branda,Vodič za veličinu,Spol,Oblik,Tip,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Fleksibilni,Veličina mosta,Naziv,Privremeno ime,Slika,Naziv final
0VO2606S,55,307113,119,VOGUE,VO,XS,Žene,Mačkasti,Puni okvir,Smeđa,Metal,52,36,Metal,135,,16,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2606S__307113,Dioptrijski okvir VOGUE XS Smeđa
0VO2606S-1,55,307113,119,VOGUE,VO,XS,Žene,Mačkasti,Puni okvir,Smeđa,Metal,52,36,Metal,135,,16,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2606S__307113,Dioptrijski okvir VOGUE XS Smeđa
0VO2943SB,55,294214,110,VOGUE,VO,"S,M,L",Žene,Ovalni,Puni okvir,"Crna,Smeđa,Fronta Crna/Mat Srebrna,Crvena Gradijent Blijeda Zlatna,Ljubičasta Gradijent Blijeda Zlatna",Metal,52,42,Injektirani,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2943SB__294214,"Dioptrijski okvir VOGUE S,M,L Crna,Smeđa,Fronta Crna/Mat Srebrna,Crvena Gradijent Blijeda Zlatna,Ljubičasta Gradijent Blijeda Zlatna"
0VO2943SB-1,55,294214,110,VOGUE,VO,S,Žene,Ovalni,Puni okvir,Crna,Metal,52,42,Injektirani,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2943SB__294214,Dioptrijski okvir VOGUE S Crna
0VO2943SB-2,55,299013,110,VOGUE,VO,S,Žene,Ovalni,Puni okvir,Smeđa,Metal,52,42,Injektirani,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2943SB__299013,Dioptrijski okvir VOGUE S Smeđa
0VO2943SB-3,55,31324L,92,VOGUE,VO,M,Žene,Nepravilan,Puni okvir,Fronta Crna/Mat Srebrna,Metal,52,44,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2943SB__31324L,Dioptrijski okvir VOGUE M Fronta Crna/Mat Srebrna
0VO2943SB-4,55,W44/11,92,VOGUE,VO,M,Žene,Nepravilan,Puni okvir,Crvena Gradijent Blijeda Zlatna,Metal,52,44,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2943SB__W44/11,Dioptrijski okvir VOGUE M Crvena Gradijent Blijeda Zlatna
0VO2943SB-5,55,W65613,92,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Ljubičasta Gradijent Blijeda Zlatna,Metal,52,44,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2943SB__W65613,Dioptrijski okvir VOGUE L Ljubičasta Gradijent Blijeda Zlatna
0VO2998,54,2762,110,VOGUE,VO,S,Žene,Phantos,Puni okvir,"Fronta Crna/Zlatna,Fronta Havana/Zlatna",Metal,51,45,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2998__2762,"Dioptrijski okvir VOGUE S Fronta Crna/Zlatna,Fronta Havana/Zlatna"
0VO2998-1,54,2762,110,VOGUE,VO,S,Žene,Phantos,Puni okvir,Fronta Crna/Zlatna,Metal,51,45,Metal,135,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO2998__2762,Dioptrijski okvir VOGUE S Fronta Crna/Zlatna
